id,proveedor,pais,tipo,codigo,nombre,tema,categoria_bricklink,cantidad,precio_eur_compra,costo_clp,precio_cliente_num,precio,imagen,plazo_entrega,origen
brickshop_holland_21332-1,brickshop_holland,NL,set_nuevo,21332-1,The Globe,Ideas,Ideas,4,247.9255,277677,388747,$388.747,https://img.bricklink.com/ItemImage/ST/0/21332-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_40791-1,brickshop_holland,NL,set_nuevo,40791-1,The Goblet of Fire Figures,Harry Potter,Harry Potter,4,53.7107,60156,84218,$84.218,https://img.bricklink.com/ItemImage/ST/0/40791-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_75639-1,brickshop_holland,NL,set_nuevo,75639-1,The Going Merry Pirate Ship,One Piece,One Piece,9,90.9008,101809,142532,$142.532,https://img.bricklink.com/ItemImage/ST/0/75639-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21363-1,brickshop_holland,NL,set_nuevo,21363-1,The Goonies,Ideas,Ideas,9,297.5123,333214,466499,$466.499,https://img.bricklink.com/ItemImage/ST/0/21363-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21058-1,brickshop_holland,NL,set_nuevo,21058-1,The Great Pyramid of Giza,Architecture,Architecture,36,115.6942,129578,181409,$181.409,https://img.bricklink.com/ItemImage/ST/0/21058-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_71847-1,brickshop_holland,NL,set_nuevo,71847-1,The Guardian Dragon,Marvel,Ninjago,53,107.4297,120321,168450,$168.450,https://img.bricklink.com/ItemImage/ST/0/71847-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_76193-1,brickshop_holland,NL,set_nuevo,76193-1,The Guardians' Ship,Marvel,Super HeroesThe Infinity Saga,20,132.2231,148090,207326,$207.326,https://img.bricklink.com/ItemImage/ST/0/76193-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_76232-1,brickshop_holland,NL,set_nuevo,76232-1,The Hoopty,Marvel,Marvel,3,82.6363,92553,129574,$129.574,https://img.bricklink.com/ItemImage/ST/0/76232-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_76312-1,brickshop_holland,NL,set_nuevo,76312-1,The Hulk Truck vs. Thanos,Marvel,Super HeroesAvengers,12,21.4793,24057,33680,$33.680,https://img.bricklink.com/ItemImage/ST/0/76312-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21267-1,brickshop_holland,NL,set_nuevo,21267-1,The Illager Desert Patrol,Minecraft,Minecraft,30,9.9091,11098,15537,$15.537,https://img.bricklink.com/ItemImage/ST/0/21267-1.t1.png,35 a 40 días hábiles,Importación Europa
